Date	Close	Open	High	Low	% var.
27.04.2015	"10,888"	"10,873"	"10,928"	"10,821"	"0,13"
24.04.2015	"10,874"	"10,825"	"10,901"	"10,785"	"0,43"
23.04.2015	"10,827"	"10,726"	"10,848"	"10,667"	"0,94"
22.04.2015	"10,726"	"10,736"	"10,802"	"10,709"	"-0,09"
21.04.2015	"10,736"	"10,740"	"10,784"	"10,661"	"-0,01"
20.04.2015	"10,737"	"10,821"	"10,825"	"10,713"	"-0,65"
17.04.2015	"10,807"	"10,762"	"10,850"	"10,737"	"0,42"
16.04.2015	"10,762"	"10,684"	"10,819"	"10,625"	"0,71"
15.04.2015	"10,686"	"10,655"	"10,703"	"10,572"	"0,30"
14.04.2015	"10,654"	"10,566"	"10,709"	"10,530"	"0,81"
13.04.2015	"10,568"	"10,602"	"10,619"	"10,520"	"-0,34"
10.04.2015	"10,604"	"10,660"	"10,685"	"10,569"	"-0,52"
09.04.2015	"10,659"	"10,781"	"10,789"	"10,638"	"-1,13"
08.04.2015	"10,781"	"10,816"	"10,888"	"10,764"	"-0,32"
07.04.2015	"10,816"	"10,922"	"10,957"	"10,805"	"-0,99"
06.04.2015	"10,924"	"10,991"	"11,037"	"10,911"	"-0,49"
03.04.2015	"10,978"	"10,883"	"11,028"	"10,864"	"0,86"
02.04.2015	"10,884"	"10,764"	"10,905"	"10,751"	"1,11"
01.04.2015	"10,764"	"10,735"	"10,801"	"10,719"	"0,31"
31.03.2015	"10,731"	"10,833"	"10,846"	"10,713"	"-0,95"
30.03.2015	"10,834"	"10,889"	"10,897"	"10,811"	"-0,50"
27.03.2015	"10,888"	"10,886"	"10,949"	"10,802"	"0,04"
26.03.2015	"10,884"	"10,969"	"11,052"	"10,856"	"-0,80"
25.03.2015	"10,972"	"10,926"	"11,016"	"10,901"	"0,42"
24.03.2015	"10,926"	"10,947"	"11,031"	"10,892"	"-0,19"
23.03.2015	"10,947"	"10,837"	"10,972"	"10,768"	"1,16"
20.03.2015	"10,822"	"10,661"	"10,883"	"10,650"	"1,52"
19.03.2015	"10,660"	"10,866"	"10,915"	"10,613"	"-1,90"
18.03.2015	"10,867"	"10,598"	"11,033"	"10,581"	"2,54"
17.03.2015	"10,598"	"10,566"	"10,650"	"10,551"	"0,28"
16.03.2015	"10,568"	"10,494"	"10,621"	"10,459"	"0,70"
13.03.2015	"10,495"	"10,637"	"10,639"	"10,462"	"-1,32"
12.03.2015	"10,635"	"10,547"	"10,684"	"10,495"	"0,83"
11.03.2015	"10,547"	"10,699"	"10,718"	"10,511"	"-1,41"
10.03.2015	"10,698"	"10,851"	"10,856"	"10,692"	"-1,42"
09.03.2015	"10,852"	"10,832"	"10,908"	"10,823"	"0,07"
06.03.2015	"10,844"	"11,033"	"11,035"	"10,842"	"-1,70"
05.03.2015	"11,031"	"11,079"	"11,115"	"10,989"	"-0,43"
04.03.2015	"11,079"	"11,178"	"11,187"	"11,062"	"-0,87"
03.03.2015	"11,176"	"11,183"	"11,219"	"11,155"	"-0,08"
02.03.2015	"11,185"	"11,187"	"11,242"	"11,159"	"-0,09"
27.02.2015	"11,195"	"11,199"	"11,248"	"11,178"	"-0,03"
26.02.2015	"11,198"	"11,361"	"11,381"	"11,184"	"-1,44"
25.02.2015	"11,362"	"11,340"	"11,389"	"11,334"	"0,19"
24.02.2015	"11,341"	"11,336"	"11,360"	"11,289"	"0,08"
23.02.2015	"11,332"	"11,385"	"11,414"	"11,296"	"-0,43"
20.02.2015	"11,381"	"11,370"	"11,431"	"11,280"	"0,13"
19.02.2015	"11,366"	"11,397"	"11,450"	"11,355"	"-0,27"
18.02.2015	"11,397"	"11,412"	"11,418"	"11,334"	"-0,13"
17.02.2015	"11,412"	"11,354"	"11,450"	"11,322"	"0,52"
16.02.2015	"11,353"	"11,385"	"11,429"	"11,317"	"-0,28"
13.02.2015	"11,385"	"11,403"	"11,443"	"11,380"	"-0,16"
12.02.2015	"11,403"	"11,334"	"11,423"	"11,302"	"0,61"
11.02.2015	"11,334"	"11,321"	"11,349"	"11,280"	"0,11"
10.02.2015	"11,321"	"11,327"	"11,347"	"11,274"	"-0,03"
09.02.2015	"11,324"	"11,315"	"11,359"	"11,271"	"0,08"
06.02.2015	"11,315"	"11,477"	"11,488"	"11,313"	"-1,41"
05.02.2015	"11,477"	"11,345"	"11,500"	"11,304"	"1,15"
04.02.2015	"11,347"	"11,482"	"11,486"	"11,317"	"-1,17"
03.02.2015	"11,481"	"11,343"	"11,534"	"11,313"	"1,23"
02.02.2015	"11,342"	"11,284"	"11,364"	"11,280"	"0,48"
30.01.2015	"11,288"	"11,321"	"11,366"	"11,279"	"-0,28"
29.01.2015	"11,320"	"11,287"	"11,369"	"11,261"	"0,28"
28.01.2015	"11,288"	"11,382"	"11,385"	"11,276"	"-0,82"
27.01.2015	"11,381"	"11,237"	"11,423"	"11,224"	"1,26"
26.01.2015	"11,239"	"11,186"	"11,297"	"11,099"	"0,28"
23.01.2015	"11,208"	"11,366"	"11,374"	"11,114"	"-1,39"
22.01.2015	"11,366"	"11,610"	"11,648"	"11,317"	"-2,10"
21.01.2015	"11,610"	"11,553"	"11,677"	"11,542"	"0,51"
20.01.2015	"11,551"	"11,606"	"11,616"	"11,540"	"-0,47"
19.01.2015	"11,606"	"11,551"	"11,641"	"11,545"	"0,31"
16.01.2015	"11,570"	"11,633"	"11,650"	"11,462"	"-0,52"
15.01.2015	"11,631"	"11,789"	"11,795"	"11,570"	"-1,34"
14.01.2015	"11,789"	"11,772"	"11,846"	"11,726"	"0,14"
13.01.2015	"11,772"	"11,833"	"11,860"	"11,753"	"-0,52"
12.01.2015	"11,834"	"11,838"	"11,871"	"11,786"	"-0,06"
09.01.2015	"11,841"	"11,793"	"11,848"	"11,763"	"0,41"
08.01.2015	"11,793"	"11,839"	"11,848"	"11,753"	"-0,39"
07.01.2015	"11,839"	"11,892"	"11,898"	"11,803"	"-0,42"
06.01.2015	"11,889"	"11,933"	"11,969"	"11,884"	"-0,38"
05.01.2015	"11,934"	"12,003"	"12,008"	"11,883"	"-0,57"
02.01.2015	"12,003"	"12,106"	"12,111"	"12,001"	"-0,83"
01.01.2015	"12,104"	"12,100"	"12,107"	"12,094"	"0,05"
31.12.2014	"12,098"	"12,155"	"12,172"	"12,096"	"-0,49"
30.12.2014	"12,157"	"12,151"	"12,188"	"12,123"	"0,04"
29.12.2014	"12,152"	"12,182"	"12,221"	"12,142"	"-0,20"
26.12.2014	"12,176"	"12,224"	"12,228"	"12,168"	"-0,38"
25.12.2014	"12,222"	"12,195"	"12,256"	"12,186"	"0,22"
24.12.2014	"12,195"	"12,172"	"12,222"	"12,170"	"0,19"
23.12.2014	"12,172"	"12,231"	"12,247"	"12,165"	"-0,48"
22.12.2014	"12,231"	"12,226"	"12,273"	"12,216"	"0,02"
19.12.2014	"12,228"	"12,288"	"12,305"	"12,222"	"-0,47"
18.12.2014	"12,286"	"12,342"	"12,353"	"12,265"	"-0,46"
17.12.2014	"12,343"	"12,512"	"12,517"	"12,322"	"-1,34"
16.12.2014	"12,511"	"12,437"	"12,571"	"12,433"	"0,59"
15.12.2014	"12,437"	"12,462"	"12,485"	"12,414"	"-0,20"
12.12.2014	"12,462"	"12,413"	"12,487"	"12,384"	"0,41"
11.12.2014	"12,411"	"12,448"	"12,496"	"12,370"	"-0,30"
10.12.2014	"12,448"	"12,374"	"12,449"	"12,361"	"0,59"
09.12.2014	"12,375"	"12,317"	"12,448"	"12,292"	"0,47"
08.12.2014	"12,317"	"12,278"	"12,344"	"12,246"	"0,26"
05.12.2014	"12,285"	"12,380"	"12,393"	"12,271"	"-0,76"
04.12.2014	"12,379"	"12,313"	"12,458"	"12,282"	"0,55"
03.12.2014	"12,311"	"12,382"	"12,391"	"12,300"	"-0,58"
02.12.2014	"12,383"	"12,471"	"12,478"	"12,377"	"-0,70"
01.12.2014	"12,470"	"12,456"	"12,507"	"12,419"	"0,14"
28.11.2014	"12,452"	"12,468"	"12,492"	"12,427"	"-0,12"
27.11.2014	"12,467"	"12,506"	"12,524"	"12,464"	"-0,31"
26.11.2014	"12,506"	"12,475"	"12,532"	"12,443"	"0,25"
25.11.2014	"12,475"	"12,443"	"12,487"	"12,401"	"0,26"
24.11.2014	"12,443"	"12,376"	"12,445"	"12,357"	"0,43"
21.11.2014	"12,390"	"12,541"	"12,571"	"12,376"	"-1,20"
20.11.2014	"12,540"	"12,555"	"12,576"	"12,504"	"-0,11"
19.11.2014	"12,554"	"12,537"	"12,600"	"12,512"	"0,14"
18.11.2014	"12,537"	"12,450"	"12,546"	"12,442"	"0,70"
17.11.2014	"12,450"	"12,526"	"12,578"	"12,444"	"-0,58"
14.11.2014	"12,523"	"12,477"	"12,548"	"12,399"	"0,37"
13.11.2014	"12,477"	"12,439"	"12,492"	"12,426"	"0,31"
12.11.2014	"12,439"	"12,476"	"12,499"	"12,418"	"-0,29"
11.11.2014	"12,475"	"12,421"	"12,500"	"12,394"	"0,43"
10.11.2014	"12,421"	"12,452"	"12,510"	"12,417"	"-0,26"
07.11.2014	"12,454"	"12,376"	"12,471"	"12,359"	"0,64"
06.11.2014	"12,375"	"12,487"	"12,535"	"12,365"	"-0,89"
05.11.2014	"12,486"	"12,546"	"12,568"	"12,457"	"-0,48"
04.11.2014	"12,546"	"12,483"	"12,578"	"12,481"	"0,50"
03.11.2014	"12,483"	"12,515"	"12,517"	"12,441"	"-0,34"
31.10.2014	"12,525"	"12,612"	"12,618"	"12,485"	"-0,70"
30.10.2014	"12,613"	"12,631"	"12,640"	"12,547"	"-0,15"
29.10.2014	"12,632"	"12,735"	"12,772"	"12,631"	"-0,80"
28.10.2014	"12,734"	"12,698"	"12,765"	"12,683"	"0,28"
27.10.2014	"12,698"	"12,683"	"12,725"	"12,666"	"0,22"
24.10.2014	"12,670"	"12,645"	"12,696"	"12,633"	"0,18"
23.10.2014	"12,647"	"12,651"	"12,679"	"12,614"	"-0,02"
